Id,City,Locality,Total_Area,Price_per_SQFT,Price_in_Cr,Property_Type,BHK_Type,Baths,Balcony
12211,New Delhi,Karampura,350,7430,0.26,Independent House,1 BK,1,No
12212,New Delhi,Sector 13 Rohini,1200,15000,1.8,Flat,3 BHK,3,No
12213,New Delhi,Chirag Dilli,450,4000,0.18,Flat,1 BHK,2,No
12214,New Delhi,Uttam Nagar,500,2600,0.13,Flat,1 BHK,2,No
12215,New Delhi,Lajpat Nagar,1500,13670,2.05,Flat,3 BHK,3,No
12216,New Delhi,Alaknanda,1100,13640,1.5,Flat,2 BHK,3,No
12217,New Delhi,Tri Nagar,1650,5450,0.9,Independent House,5 BHK,3,Yes
12218,New Delhi,Pitampura,1300,10770,1.4,Flat,2 BHK,3,Yes
12219,New Delhi,Patparganj,950,11050,1.05,Flat,2 BHK,3,Yes
12220,New Delhi,Pul Prahlad Pur,3150,1570,0.49,Flat,3 BHK,3,Yes
12221,New Delhi,Patparganj,1200,9590,1.15,Flat,3 BHK,3,Yes
12222,New Delhi,Punjabi Bagh,4950,13130,6.5,Flat,4 BHK,5,Yes
12223,New Delhi,Badarpur,585,3760,0.22,Flat,2 BHK,2,No
12224,New Delhi,Dwarka Mor,405,4690,0.19,Independent House,2 BK,2,Yes
12225,New Delhi,Sector 2 Rohini,500,6000,0.3,Flat,2 BHK,2,No
12226,New Delhi,Dallupura,1650,12120,2,Flat,4 BHK,3,Yes
12227,New Delhi,Jamia Nagar,720,7220,0.52,Flat,2 BHK,2,No
12228,New Delhi,Sukhdev Vihar,1350,11850,1.6,Flat,3 BHK,3,No
12229,New Delhi,Subhash Nagar,1100,10000,1.1,Flat,2 BHK,3,Yes
12230,New Delhi,Sheikh Sarai,2050,17070,3.5,Flat,3 BHK,4,Yes
12231,New Delhi,Sector 14 Rohini,1600,21880,3.5,Flat,3 BHK,3,No
12232,New Delhi,Sector 13 Rohini,1650,11520,1.9,Flat,3 BHK,3,Yes
12233,New Delhi,Punjabi Bagh,9600,12500,12,Independent House,5+ BHK,1,Yes
12234,New Delhi,Govindpuri,650,6150,0.4,Flat,2 BHK,2,Yes
12235,New Delhi,Sector 18 Rohini,732,11610,0.85,Flat,2 BHK,2,Yes
12236,New Delhi,Uttam Nagar,500,5800,0.29,Flat,2 BHK,2,Yes
12237,New Delhi,Burari,1000,3800,0.38,Flat,2 BHK,3,Yes
12238,New Delhi,Uttam Nagar,650,4000,0.26,Flat,2 BHK,2,No
12239,New Delhi,Sector 3 Rohini,2900,25860,7.5,Independent House,5+ BHK,4,Yes
12240,New Delhi,Sector 4 Rohini,891,5840,0.52,Independent House,3 BHK,3,No
12241,New Delhi,Patparganj,1500,13000,1.95,Flat,3 BHK,3,No
12242,New Delhi,Patparganj,1255,9960,1.25,Flat,3 BHK,3,No
12243,New Delhi,Paschim Vihar,1450,8960,1.3,Flat,3 BHK,3,No
12244,New Delhi,Chhattarpur,700,4790,0.34,Flat,2 BHK,2,No
12245,New Delhi,Palam,802,4360,0.35,Flat,2 BHK,3,Yes
12246,New Delhi,Vasant Kunj,1250,14800,1.85,Flat,3 BHK,3,Yes
12247,New Delhi,Sector 17 Dwarka,1100,8000,0.88,Flat,2 BHK,3,Yes
12248,New Delhi,Kalkaji,2200,7950,1.75,Flat,3 BHK,4,Yes
12249,New Delhi,Mayur Vihar Phase 1,972,9260,0.9,Flat,2 BHK,3,No
12250,New Delhi,Patel Nagar,1000,5500,0.55,Independent House,2 BHK,3,Yes
12251,New Delhi,Dwarka Mor,803,4360,0.35,Flat,3 BHK,3,No
12252,New Delhi,Sector 2 Dwarka,1800,15550,2.8,Flat,3 BHK,3,Yes
12253,New Delhi,Bhalswa,250,4000,0.1,Independent House,2 BHK,1,Yes
12254,New Delhi,Chhattarpur,800,4380,0.35,Flat,2 BHK,1,No
12255,New Delhi,Nangloi,1300,5230,0.68,Independent House,3 BHK,3,No
12256,New Delhi,Vasant Kunj,850,12940,1.1,Flat,2 BHK,3,Yes
12257,New Delhi,Dwarka Mor,1000,6000,0.6,Flat,4 BHK,3,Yes
12258,New Delhi,Dwarka Mor,900,5000,0.45,Flat,3 BHK,3,No
12259,New Delhi,Karampura,1680,17860,3,Flat,3 BHK,3,Yes
12260,New Delhi,Vikaspuri,1782,56120,10,Flat,3 BHK,3,Yes
12261,New Delhi,Delhi Cantonment,900,10000,0.9,Flat,2 BHK,3,Yes
12262,New Delhi,Sector 13 Rohini,1400,13210,1.85,Flat,3 BHK,3,No
12263,New Delhi,Sector 4 Rohini,900,11670,1.05,Flat,2 BHK,3,No
12264,New Delhi,Kirti Nagar,2850,22810,6.5,Flat,4 BHK,4,Yes
12265,New Delhi,Uttam Nagar,720,6110,0.44,Flat,3 BHK,2,Yes
12266,New Delhi,Mansa Ram Park,500,6400,0.32,Flat,2 BHK,2,Yes
12267,New Delhi,Uttam Nagar,750,5070,0.38,Flat,3 BHK,2,Yes
12268,New Delhi,Mansa Ram Park,420,3930,0.17,Flat,2 BHK,2,Yes
12269,New Delhi,Sector 16B Dwarka,900,5550,0.5,Flat,3 BHK,3,No
12270,New Delhi,Sewak Park,802,6860,0.55,Flat,3 BHK,3,Yes
12271,New Delhi,Sewak Park,1000,6500,0.65,Flat,3 BHK,3,Yes
12272,New Delhi,Razapur Khurd,765,6540,0.5,Flat,3 BHK,2,Yes
12273,New Delhi,Bindapur,650,4460,0.29,Flat,3 BHK,2,No
12274,New Delhi,Sector 13 Rohini,1700,12940,2.2,Flat,4 BHK,3,Yes
12275,New Delhi,Sector 4 Rohini,1200,8170,0.98,Flat,3 BHK,3,Yes
12276,New Delhi,Sector 20 Rohini,589,7040,0.41,Flat,2 BHK,2,No
12277,New Delhi,Uttam Nagar,450,5330,0.24,Flat,2 BHK,2,Yes
12278,New Delhi,Uttam Nagar,450,5550,0.25,Flat,2 BHK,2,No
12279,New Delhi,Sector 25 Rohini,950,11580,1.1,Flat,2 BHK,3,Yes
12280,New Delhi,Sector 14 Rohini,900,12220,1.1,Flat,2 BHK,3,Yes
12281,New Delhi,Rohini Sector 28,500,5600,0.28,Flat,1 BHK,2,No
12282,New Delhi,Sector 14 Rohini,1200,14170,1.7,Flat,3 BHK,3,No
12283,New Delhi,Uttam Nagar,1600,3230,0.52,Flat,3 BHK,3,Yes
12284,New Delhi,Sector 25 Rohini,900,10550,0.95,Flat,2 BHK,3,No
12285,New Delhi,Sector 19 Rohini,1100,11820,1.3,Flat,3 BHK,3,Yes
12286,New Delhi,Hastsal,360,4580,0.16,Flat,1 BHK,1,No
12287,New Delhi,Sector 12 Dwarka,1400,12500,1.75,Flat,3 BHK,3,No
12288,New Delhi,Pitampura,1800,13890,2.5,Flat,3 BHK,3,Yes
