Id,City,Locality,Total_Area,Price_per_SQFT,Price_in_Cr,Property_Type,BHK_Type,Baths,Balcony,City_Level_Annual_CAGR,Locality_Level_Annual_CAGR,CAGR_source,1yr_Forecast_PriceSQFT,2yr_Forecast_PriceSQFT,3yr_Forecast_PriceSQFT
77,Chennai,Triplicane,1328,18000,2.39,Independent House,4 BHK,3,Yes,0.0619,N/A,city,19114.2,20297.37,21553.78
78,Chennai,Pennalur,1085,2760,0.3,Flat,2 BHK,3,Yes,0.0619,N/A,city,2930.84,3112.26,3304.91
79,Chennai,Singaperumal Koil,880,3100,0.27,Independent House,1 BHK,3,Yes,0.0619,N/A,city,3291.89,3495.66,3712.04
80,Chennai,Oragadam Sriperambattur,1450,4830,0.7,Flat,3 BHK,3,Yes,0.0619,N/A,city,5128.98,5446.46,5783.6
81,Chennai,Kelambakkam,462,6060,0.28,Flat,1 BHK,2,No,0.0619,N/A,city,6435.11,6833.45,7256.44
82,Chennai,Perambur,900,10330,0.93,Flat,2 BHK,3,No,0.0619,N/A,city,10969.43,11648.43,12369.47
83,Chennai,Perumbakkam,904,4980,0.45,Flat,2 BHK,3,No,0.0619,N/A,city,5288.26,5615.61,5963.21
84,Chennai,Kilpauk,940,6910,0.65,Flat,2 BHK,3,No,0.0619,N/A,city,7337.73,7791.93,8274.26
85,Chennai,Valasaravakkam,5400,9500,5.13,Independent House,5 BHK,5,Yes,0.0619,N/A,city,10088.05,10712.5,11375.6
86,Chennai,Ambattur,795,5500,0.44,Flat,2 BHK,2,Yes,0.0619,N/A,city,5840.45,6201.97,6585.88
87,Chennai,Kolathur,990,6970,0.69,Flat,2 BHK,3,Yes,0.0619,N/A,city,7401.44,7859.59,8346.1
88,Chennai,Thandalam,630,7140,0.45,Flat,2 BHK,2,No,0.0619,N/A,city,7581.97,8051.29,8549.66
89,Chennai,Anna Nagar West,1100,9090,1,Flat,3 BHK,3,Yes,0.0619,N/A,city,9652.67,10250.17,10884.66
90,Chennai,Madambakkam,598,4930,0.29,Flat,2 BHK,2,Yes,0.0619,N/A,city,5235.17,5559.22,5903.34
91,Chennai,Mogappair,918,7840,0.72,Flat,2 BHK,3,No,0.0619,N/A,city,8325.3,8840.63,9387.87
92,Chennai,Ambattur,3300,11450,3.78,Independent House,4 BHK,1,Yes,0.0619,N/A,city,12158.76,12911.38,13710.6
93,Chennai,Anakaputhur,490,3060,0.15,Flat,1 BHK,2,Yes,0.0619,N/A,city,3249.41,3450.55,3664.14
94,Chennai,Iyyappanthangal,1791,7260,1.3,Flat,3 BHK,3,Yes,0.0619,N/A,city,7709.39,8186.61,8693.36
95,Chennai,Oragadam Sriperambattur,500,3600,0.18,Flat,1 BK,2,No,0.0619,N/A,city,3822.84,4059.47,4310.76
