Name,Property Title,Price,Location,Total_Area,Price_per_SQFT,Baths,Balcony
Techcons Blue Alpha,"1 BHK Flat for sale in Mudichur, Chennai",₹26.86 L,"Mudichur, Chennai",580,4630,2,Yes
"Ramaniyam Gauravv ,Sholinganallur, Chennai","2 BHK Flat for sale in Sholinganallur, Chennai",₹64.9 L,"Ramaniyam Gauravv ,Sholinganallur, Chennai",1160,5590,3,No
BSCPL Bollineni Iris,"2 BHK Flat for sale in Perumbakkam, Chennai",₹58.0 L,"Arasankazhani, Perumbakkam,Chennai",1055,5500,3,Yes
"Dharan Singh Colony, Vadapalani,Chennai","4 BHK Independent House for sale in Vadapalani, Chennai",₹2.75 Cr,"Dharan Singh Colony, Vadapalani,Chennai",1940,14180,3,Yes
Amaar Ultra Amaar Avenue Phase 2,"2 BHK Flat for sale in Choolaimedu, Chennai",₹90.0 L,"Padmanabha Nagar, Choolaimedu,Chennai",938,9590,3,Yes
Vasantham,"3 BHK Flat for sale in Sembakkam, Chennai",₹1.15 Cr,"Maruthi Nagar, Sembakkam,Chennai",1712,6720,3,Yes
"Padupakkam, Triplicane,Chennai","4 BHK Independent House for sale in Triplicane, Chennai",₹2.39 Cr,"Padupakkam, Triplicane,Chennai",1328,18000,3,Yes
TVH Svaya,"2 BHK Flat for sale in Pennalur, Chennai",₹30.0 L,"Pennalur, Chennai",1085,2760,3,Yes
"Singaperumal Koil, Chennai","1 BHK Independent House for sale in Singaperumal Koil, Chennai",₹27.28 L,"Singaperumal Koil, Chennai",880,3100,3,Yes
Hiranandani Parks Apartment,"3 BHK Flat for sale in Oragadam Sriperambattur, Chennai",₹70.0 L,"Oragadam Sriperambattur, Chennai",1450,4830,3,Yes
Alliance Jasmine Springs,"1 BHK Flat for sale in Kelambakkam, Chennai",₹28.0 L,"Kelambakkam, Chennai",462,6060,2,No
"RC NAVARATHNAM ,Sembiyan, Perambur,Chennai","2 BHK Flat for sale in Perambur, Chennai",₹93.0 L,"RC NAVARATHNAM ,Sembiyan, Perambur,Chennai",900,10330,3,No
Plaza Pristine Acres,"2 BHK Flat for sale in Perumbakkam, Chennai",₹45.0 L,"Nesamani Nagar, Perumbakkam,Chennai",904,4980,3,No
Swathy Ayyappa Flats,"2 BHK Flat for sale in Kilpauk, Chennai",₹65.0 L,"Kumaran Nagar, Kilpauk,Chennai",940,6910,3,No
"Tirupathi Nagar, Valasaravakkam,Chennai","5 BHK Independent House for sale in Valasaravakkam, Chennai",₹5.13 Cr,"Tirupathi Nagar, Valasaravakkam,Chennai",5400,9500,5,Yes
Narayanan Nagar,"2 BHK Flat for sale in Ambattur, Chennai",₹43.75 L,"Ambattur, Chennai",795,5500,2,Yes
Royal,"2 BHK Flat for sale in Kolathur, Chennai",₹69.0 L,"Anthony Nagar, Kolathur,Chennai",990,6970,3,Yes
Amarprakash Temple Waves,"2 BHK Flat for sale in Thandalam, Chennai",₹45.0 L,"Thandalam, Chennai",630,7140,2,No
Golden Jubilee Flats,"3 BHK Flat for sale in Anna Nagar West, Chennai",₹1.0 Cr,"Thirumangalam, Anna Nagar West,Chennai",1100,9090,3,Yes
 Madambakkam,"2 BHK Flat for sale in Madambakkam, Chennai",₹29.5 L,"Madambakkam, Chennai",598,4930,2,Yes
"Nerkundram, Mogappair,Chennai","2 BHK Flat for sale in Mogappair, Chennai",₹72.0 L,"Nerkundram, Mogappair,Chennai",918,7840,3,No
"Ambattur, Chennai","4 BHK Independent House for sale in Ambattur, Chennai",₹3.78 Cr,"Ambattur, Chennai",3300,11450,1,Yes
"Kamakshi Nagar, Anakaputhur,Chennai","1 BHK Flat for sale in Anakaputhur, Chennai",₹15.0 L,"Kamakshi Nagar, Anakaputhur,Chennai",490,3060,2,Yes
Prestige Bella Vista,"3 BHK Flat for sale in Iyyappanthangal, Chennai",₹1.3 Cr,"Iyyappanthangal, Chennai",1791,7260,3,Yes
Arun Excello Excello Town House,"1 RK Flat for sale in Oragadam Sriperambattur, Chennai",₹18.0 L,"Oragadam Sriperambattur, Chennai",500,3600,2,No
Rajparis Harmony,"3 BHK Flat for sale in Medavakkam, Chennai",₹78.0 L,"Medavakkam, Chennai",1512,5160,3,No
"BHARATHI ,Thirumullaivoyal, Chennai","2 BHK Flat for sale in Thirumullaivoyal, Chennai",₹48.5 L,"BHARATHI ,Thirumullaivoyal, Chennai",967,5010,3,Yes
"Ponmar, Chennai","2 BHK Villa for sale in Ponmar, Chennai",₹72.0 L,"Ponmar, Chennai",1669,4310,3,Yes
"Sushil nagar ,Unamancheri, Kolapakkam, Kolapakkam - Vandalur,Chennai","2 BHK Flat for sale in Kolapakkam - Vandalur, Chennai",₹36.0 L,"Sushil nagar ,Unamancheri, Kolapakkam, Kolapakkam - Vandalur,Chennai",1065,3380,3,No
Ozone Metrozone,"4 BHK Flat for sale in Anna Nagar West, Chennai",₹3.0 Cr,"Thirumangalam, Anna Nagar West,Chennai",2661,11270,4,Yes
"K G Signature City,Panneer Nagar, Mogappair,Chennai","2 BHK Flat for sale in Mogappair, Chennai",₹72.0 L,"K G Signature City,Panneer Nagar, Mogappair,Chennai",1000,7200,3,No
"Chinnaiyan Colony, Perambur,Chennai","10 BHK Independent House for sale in Perambur, Chennai",₹6.5 Cr,"Chinnaiyan Colony, Perambur,Chennai",8000,8130,1,Yes
TNHB LIG Block,"1 BHK Flat for sale in Ayappakkam, Chennai",₹17.0 L,"Annanur, Ayappakkam,Chennai",640,2660,2,Yes
 Balambal Apartments,"2 BHK Flat for sale in Virugambakkam, Chennai",₹58.5 L,"L & T Colony Phase II, Virugambakkam,Chennai",960,6090,3,No
"Dwaraka flats,Bhavani Nagar, Ayappakkam,Chennai","2 BHK Flat for sale in Ayappakkam, Chennai",₹58.5 L,"Dwaraka flats,Bhavani Nagar, Ayappakkam,Chennai",1168,5010,3,Yes
"Surya Nagar, Kotturpuram,Chennai","3 BHK Flat for sale in Kotturpuram, Chennai",₹2.3 Cr,"Surya Nagar, Kotturpuram,Chennai",1650,13940,3,Yes
"ert  aprtment,Periyar Nagar, Chromepet,Chennai","2 BHK Flat for sale in Chromepet, Chennai",₹40.0 L,"ert  aprtment,Periyar Nagar, Chromepet,Chennai",763,5240,2,No
Hansa Abhinav,"2 BHK Flat for sale in Tiruvottiyur, Chennai",₹45.0 L,"Tiruvottiyur, Chennai",836,5380,3,No
"ADWAITH SRINIVASAN FLAT,Nanganallur, Chennai","2 BHK Flat for sale in Nanganallur, Chennai",₹40.4 L,"ADWAITH SRINIVASAN FLAT,Nanganallur, Chennai",518,7800,2,No
"Vijaya Gardens, Valasaravakkam,Chennai","6 BHK Independent House for sale in Valasaravakkam, Chennai",₹3.0 Cr,"Vijaya Gardens, Valasaravakkam,Chennai",3500,8570,4,Yes
Gothi Flats,"2 BHK Flat for sale in West Mambalam, Chennai",₹56.0 L,"Ramakrishna Puram, West Mambalam,Chennai",620,9030,2,Yes
"Veppampattu, Chennai","2 BHK Villa for sale in Veppampattu, Chennai",₹30.0 L,"Veppampattu, Chennai",1000,3000,3,Yes
GR Natarajan Sundaravedam,"3 BHK Flat for sale in T Nagar, Chennai",₹2.75 Cr,"Parthasarathy Puram, T Nagar,Chennai",1495,18390,3,No
"Mathangi Apartments,Samiyar Madam, Kodambakkam,Chennai","2 BHK Flat for sale in Kodambakkam, Chennai",₹45.0 L,"Mathangi Apartments,Samiyar Madam, Kodambakkam,Chennai",560,8040,2,Yes
"Mango Farm,Natesan Nagar, Madhavaram,Chennai","2 BHK Flat for sale in Madhavaram, Chennai",₹45.0 L,"Mango Farm,Natesan Nagar, Madhavaram,Chennai",831,5420,3,Yes
"Srivatsam flats ,Sembiyan, Perambur,Chennai","2 BHK Flat for sale in Perambur, Chennai",₹50.0 L,"Srivatsam flats ,Sembiyan, Perambur,Chennai",853,5860,3,Yes
Alacrity Sangath,"2 BHK Flat for sale in Velachery, Chennai",₹60.0 L,"Velachery, Chennai",994,6040,3,Yes
"Periyar Nagar, Tiruvottiyur,Chennai","2 BHK Independent House for sale in Tiruvottiyur, Chennai",₹1.1 Cr,"Periyar Nagar, Tiruvottiyur,Chennai",1800,6110,3,Yes
"Ishwarya malar apartments ,Kuppusamy Nagar, Ayanavaram,Chennai","2 BHK Flat for sale in Ayanavaram, Chennai",₹41.0 L,"Ishwarya malar apartments ,Kuppusamy Nagar, Ayanavaram,Chennai",547,7500,2,Yes
"Mylapore, Chennai","2 BHK Flat for sale in Mylapore, Chennai",₹45.0 L,"Mylapore, Chennai",730,6160,2,No
"JB HOMES,Vishnu Nagar, West Tambaram,Chennai","2 BHK Flat for sale in West Tambaram, Chennai",₹33.0 L,"JB HOMES,Vishnu Nagar, West Tambaram,Chennai",920,3590,3,Yes
BSR Nerkundram,"4 BHK Independent House for sale in Koyambedu, Chennai",₹1.15 Cr,"Tirumalai Nagar, Koyambedu,Chennai",1400,8210,3,No
Mahindra Happinest,"2 BHK Flat for sale in Avadi, Chennai",₹32.0 L,"Avadi, Chennai",667,4800,2,No
"Veppampattu, Chennai","2 BHK Independent House for sale in Veppampattu, Chennai",₹39.0 L,"Veppampattu, Chennai",1000,3900,3,No
Sravan Zebulon,"2 BHK Flat for sale in Madipakkam, Chennai",₹54.5 L,"Ram Nagar, Madipakkam,Chennai",850,6410,3,Yes
"Leela Towers Kovilambakam,Rose Nagar, Kovilambakkam,Chennai","2 BHK Flat for sale in Kovilambakkam, Chennai",₹45.0 L,"Leela Towers Kovilambakam,Rose Nagar, Kovilambakkam,Chennai",951,4730,3,Yes
My Homes Nakshatra,"3 BHK Flat for sale in Perumbakkam, Chennai",₹77.0 L,"Cheran Nagar, Perumbakkam,Chennai",1380,5580,3,Yes
"Annamalai Colony, Saligramam,Chennai","3 BHK Flat for sale in Saligramam, Chennai",₹1.1 Cr,"Annamalai Colony, Saligramam,Chennai",1196,9200,3,No
"Ambattur, Chennai","3 BHK Independent House for sale in Ambattur, Chennai",₹4.2 Cr,"Ambattur, Chennai",4800,8750,5,Yes
Jubliee Residences,"2 BHK Flat for sale in Moolakazhani, Chennai",₹36.5 L,"Moolakazhani, Chennai",690,5290,2,Yes
Ashwanth Vedas,"2 BHK Flat for sale in Kolathur, Chennai",₹60.0 L,"Lakshmipuram, Kolathur,Chennai",982,6110,3,No
"Guduvancheri, Chennai","2 BHK Independent House for sale in Guduvancheri, Chennai",₹36.5 L,"Guduvancheri, Chennai",600,6080,2,No
"Iswaryam Flats,VOC Nagar, Pammal,Chennai","2 BHK Flat for sale in Pammal, Chennai",₹30.0 L,"Iswaryam Flats,VOC Nagar, Pammal,Chennai",770,3900,2,No
Lake View Apartment,"2 BHK Flat for sale in Mathur, Chennai",₹39.5 L,"TNHB Layout, Mathur,Chennai",840,4700,3,Yes
TK Jasmine Grove,"3 BHK Independent House for sale in Mahindra World City, Chennai",₹39.0 L,"Mahindra World City, Chennai",1650,2360,3,Yes
"Sai sivam,Thirumangalam, Anna Nagar West,Chennai","3 BHK Flat for sale in Anna Nagar West, Chennai",₹1.53 Cr,"Sai sivam,Thirumangalam, Anna Nagar West,Chennai",1340,11420,3,Yes
Adityaram Nagar Phase 5,"4 BHK Villa for sale in Panaiyur, Chennai",₹2.6 Cr,"Adityaram Nagar, Panaiyur,Chennai",3500,7430,5,Yes
