City,Locality,Market_Segment
New Delhi,Sector 16 Rohini,Standard
New Delhi,Sector 16B Dwarka,Standard
New Delhi,Sector 17 Rohini,Standard
New Delhi,Sector 18 Rohini,Standard
New Delhi,Sector 19 Dwarka,Standard
New Delhi,Sector 22 Dwarka,Luxury
New Delhi,Sector 22 Rohini,Standard
New Delhi,Sector 23B Dwarka,Standard
New Delhi,Sector 25 Rohini,Standard
New Delhi,Sector 28 Dwarka,Standard
New Delhi,Sector 3 Dwarka,Standard
New Delhi,Sector 3 Rohini,Opportunity
New Delhi,Sector 34 Rohini,Standard
New Delhi,Sector 35 Rohini,Standard
New Delhi,Sector 39 Rohini,Standard
New Delhi,Sector 4 Rohini,Standard
New Delhi,Sector 5 Rohini,Standard
New Delhi,Sector 6 Rohini,Standard
New Delhi,Sector 7 Rohini,Standard
New Delhi,Sector 8 Rohini,Luxury
New Delhi,Sector 9 Rohini,Luxury
New Delhi,Sewak Park,Standard
New Delhi,Shahdara,Matured
New Delhi,Shakarpur Khas,Luxury
New Delhi,Shalimar Bagh,Luxury
New Delhi,Shastri Nagar,Standard
New Delhi,Sheikh Sarai,Standard
New Delhi,Sidhartha Nagar,Standard
New Delhi,Sonia Vihar,Standard
New Delhi,South Extension I,Standard
New Delhi,Subhash Nagar,Standard
New Delhi,Subzi Mandi,Standard
New Delhi,Tagore Garden Extension,Standard
New Delhi,Tilak Nagar,Standard
New Delhi,Tri Nagar,Standard
New Delhi,Tughlakabad,Standard
New Delhi,Uttam Nagar,Matured
New Delhi,Vasant Kunj,Standard
New Delhi,Vijay Nagar,Standard
New Delhi,Vikaspuri,Standard
New Delhi,Vishnu Garden,Standard
New Delhi,Wazirabad,Standard
New Delhi,West Sagarpur,Standard
Pune,Akurdi,Standard
Pune,Alandi,Matured
Pune,Ambegaon,Matured
Pune,Ambegaon Bk,Standard
Pune,Ambegaon Budruk,Matured
Pune,Ambegaon Pathar,Matured
Pune,Anand Nagar,Standard
Pune,Aundh,Standard
Pune,Bakori,Standard
Pune,Balewadi,Standard
Pune,Baner,Matured
Pune,Baramati,Standard
Pune,Bavdhan,Matured
Pune,Bebadohal,Standard
Pune,Bhawani Peth,Standard
Pune,Bhosari,Matured
Pune,Bhugaon,Standard
Pune,Bhukum,Standard
Pune,Bibwewadi,Matured
Pune,Bopkhel,Standard
Pune,Bopodi,Standard
Pune,Camp,Standard
Pune,Chakan,Matured
Pune,Chandan Nagar,Standard
Pune,Charholi Budruk,Standard
Pune,Charholi Kurd,Standard
Pune,Chikhali,Matured
Pune,Chinchwad,Matured
Pune,Dapodi,Standard
Pune,Dattavadi,Standard
Pune,Daund,Standard
Pune,Dehu,Standard
Pune,Dhankawadi,Matured
Pune,Dhanori,Matured
Pune,Dhawade,Standard
Pune,Dhayari,Matured
Pune,Dighi,Matured
Pune,Fursungi,Matured
Pune,Gahunje,Standard
Pune,Ganesh Peth,Standard
Pune,Ganga Dham,Standard
Pune,Ghorpadi,Luxury
Pune,Gokhalenagar,Standard
Pune,Gultekdi,Luxury
Pune,Guruwar Peth,Standard
Pune,Hadapsar,Matured
Pune,Handewadi,Matured
Pune,Hingne Khurd,Standard
Pune,Hinjewadi,Standard
Pune,Hinjewadi Phase 3,Matured
Pune,Jambhe,Standard
Pune,Jambhul,Standard
Pune,Jambhulwadi,Standard
Pune,Kalas,Standard
Pune,Kalewadi,Matured
